Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AZ
85614,AZ,6.21,32602.5,02/24/2012,,
85742,AZ,5.76,44524.8,02/14/2012,,
85715,AZ,4.905,23784.0,12/10/2012,,
85629,AZ,2.695,10793.96,10/17/2012,,
85710,AZ,4.32,24000.0,12/11/2012,,
85641,AZ,10.56,52536.0,12/14/2012,,
85710,AZ,9.165,73320.0,05/23/2012,,
85704,AZ,4.578,21970.0,11/16/2012,,
85745,AZ,7.92,39402.0,12/06/2012,,
85749,AZ,10.64,64134.4,12/11/2012,,
85614,AZ,7.59,39847.5,02/15/2012,,
85641,AZ,7.05,35073.76,05/09/2012,,
85743,AZ,5.72,28457.0,09/14/2012,,
