Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=ME
04011,ME,9.1,16591.57017,10/08/2013,,
04070,ME,1.44,8442.447411,12/04/2012,,
04101,ME,8.4,29334.48431,06/04/2013,,
04851,ME,10.6,35569.59797,05/07/2013,,
04915,ME,6.48,23098.74121,10/09/2012,,
04854,ME,5.2,11196.28838,10/09/2012,,
04103,ME,7.44,26762.7907,07/03/2012,,
04071,ME,4.08,18768.99822,08/07/2012,,
04011,ME,14,75989.76068,04/09/2013,,
04105,ME,7.92,26855.78881,07/10/2012,,
04079,ME,4.5,16959.10358,03/27/2012,,
03901,ME,6.12,20876.90543,07/09/2013,,
04941,ME,3.18,12455.23489,04/09/2013,,
04105,ME,8.64,29887.04617,01/08/2013,,
04472,ME,1,4588.578862,02/05/2013,,
04102,ME,3.6,16281.5016,09/04/2012,,
04040,ME,6.48,23611.478,10/09/2012,,
04090,ME,5.2,19276.99033,12/04/2012,,
04096,ME,5.76,21205.40176,10/09/2012,,
04348,ME,4.32,16421.97429,08/07/2012,,
04069,ME,7.2,26757.62414,07/03/2012,,
04609,ME,2.88,11603.1914,09/04/2012,,
04038,ME,2,9781.809151,10/08/2013,,
04355,ME,6.5,20260.15842,03/05/2013,,
04103,ME,9.5,20600.89146,12/11/2012,,
04568,ME,4.62,14162.17904,10/09/2012,,
04530,ME,3.92,14901.07929,11/06/2012,,
04102,ME,4.1,13775.53609,09/03/2013,,
04011,ME,2.115,10698.10887,01/24/2012,,
04102,ME,1.56,8769.77222,04/09/2013,,
04957,ME,6.76,23315.07904,02/05/2013,,
04021,ME,5.76,23185.84614,06/05/2012,,
04843,ME,4.8,18389.81616,08/07/2012,,
04079,ME,2.94,12233.62168,01/08/2013,,
04915,ME,6,18906.59969,01/08/2013,,
04072,ME,5.88,18723.26629,11/06/2012,,
04849,ME,7.5,27518.33184,08/06/2013,,
04938,ME,4.32,20319.63705,08/07/2012,,
04217,ME,3,7618.001536,11/05/2013,,
04951,ME,1.23,5668.456496,08/06/2013,,
04677,ME,3.38,13252.71616,11/06/2012,,
04103,ME,1,5268.597752,09/04/2012,,
04680,ME,10.78,36042.28037,12/04/2012,,
04402,ME,4.5,22042.80198,06/05/2012,,
04105,ME,8.6,29803.89283,06/04/2013,,
04063,ME,3.36,23574.07882,02/05/2013,,
04011,ME,10.4,30762.16228,09/03/2013,,
04090,ME,7.2,40936.04562,10/09/2012,,
04011,ME,3.12,14205.42862,02/28/2012,,
04002,ME,4.8,18289.32415,11/06/2012,,
04046,ME,1.92,9567.186927,02/05/2013,,
04554,ME,4.32,17041.10912,10/09/2012,,
04097,ME,3.18,11268.2964,01/08/2013,,
04347,ME,3.12,12857.90202,05/22/2012,,
04105,ME,8.28,44226.65966,12/27/2011,,
04614,ME,1.4,4680.226708,08/07/2012,,
04074,ME,9.6,39520.38222,05/01/2012,,
04915,ME,9.3,14830.84691,09/04/2012,,
04609,ME,3,13156.6945,04/09/2013,,
03908,ME,4.59,15731.99123,08/06/2013,,
04988,ME,11.7,57443.7165,01/17/2012,,
04083,ME,3.84,17651.04211,07/03/2012,,
04973,ME,4.08,13141.60867,09/03/2013,,
04270,ME,3.29,14814.21227,01/24/2012,,
04105,ME,8.4,25387.59953,08/06/2013,,
04856,ME,11.44,36217.37715,07/09/2013,,
04069,ME,2.35,10856.86242,01/31/2012,,
04086,ME,8.4,24974.52993,10/08/2013,,
04988,ME,37.44,129021.5891,12/04/2012,,
04578,ME,5.61,18079.62156,10/08/2013,,
04605,ME,6.75,18643.52775,06/04/2013,,
04457,ME,4.05,23529.65986,09/04/2012,,
04093,ME,4,16891.58763,09/03/2013,,
04468,ME,5.39,20597.43512,10/09/2012,,
04086,ME,10.14,46381.212,06/04/2013,,
04086,ME,3.84,15747.61838,12/04/2012,,
04072,ME,5.88,18517.9943,03/05/2013,,
04072,ME,6.24,21245.79832,07/09/2013,,
04102,ME,4.08,12787.74169,09/03/2013,,
04330,ME,2.88,11671.84263,06/05/2012,,
04353,ME,4.59,14437.49489,07/09/2013,,
04096,ME,4.5,16370.1288,07/09/2013,,
04217,ME,4.6,25963.51591,12/04/2012,,
04011,ME,2.6,9089.889317,01/08/2013,,
04421,ME,2.115,11222.41334,01/31/2012,,
04662,ME,3.84,24513.81346,09/04/2012,,
04629,ME,8.82,36338.4583,04/09/2013,,
04062,ME,3.525,16430.71186,03/20/2012,,
04847,ME,10,41040.14313,03/06/2012,,
04843,ME,5.3,18738.68877,03/05/2013,,
04043,ME,3.36,8014.256117,08/06/2013,,
04038,ME,3,10479.20653,10/08/2013,,
04609,ME,2.5,9819.794476,01/08/2013,,
04261,ME,6.12,20151.36284,08/06/2013,,
04859,ME,7.5,15780.16254,03/05/2013,,
04062,ME,6.5,19761.45236,05/07/2013,,
04108,ME,2.62,11037.6167,09/03/2013,,
04915,ME,7.5,23300.92736,11/05/2013,,
04605,ME,5.46,20600.94007,11/06/2012,,
04607,ME,6.12,23455.21858,06/04/2013,,
04915,ME,3.6,23030.17162,10/09/2012,,
04973,ME,7.68,18193.20534,02/05/2013,,
04538,ME,20.4,67803.64913,10/08/2013,,
04103,ME,2.88,11607.19799,07/03/2012,,
04609,ME,5.61,18838.67536,05/07/2013,,
04011,ME,2.115,10065.18356,01/24/2012,,
04107,ME,6,15369.3379,01/24/2012,,
04086,ME,4.8,18729.60925,09/04/2012,,
04986,ME,4.59,6736.616291,09/03/2013,,
04107,ME,6.6,19769.90544,06/04/2013,,
04011,ME,2.6,11638.73183,04/09/2013,,
04680,ME,10.78,36042.28037,12/04/2012,,
04217,ME,6.63,22361.36013,09/03/2013,,
04103,ME,2.25,10537.39779,03/05/2013,,
04401,ME,5.61,18450.8259,08/06/2013,,
04049,ME,4.5,16987.63724,09/03/2013,,
04476,ME,6,18983.46059,02/05/2013,,
04107,ME,2.5,8994.026916,05/07/2013,,
04988,ME,5.1,18096.54736,08/06/2013,,
04915,ME,4.32,16507.87309,10/09/2012,,
04353,ME,5.94,20672.2242,06/04/2013,,
04472,ME,2,3761.251243,05/07/2013,,
04551,ME,7.35,23705.46024,12/11/2012,,
04847,ME,4.08,13123.48901,08/06/2013,,
04055,ME,5.1,16220.8956,08/06/2013,,
04038,ME,3.6,13812.1671,10/09/2012,,
04087,ME,3.32,13966.24435,07/09/2013,,
04078,ME,3,11269.65591,03/05/2013,,
04079,ME,3.84,16577.20649,11/06/2012,,
04017,ME,3,12092.39008,07/09/2013,,
04046,ME,11.28,44264.45249,02/14/2012,,
04079,ME,10.56,47620.04557,10/09/2012,,
04005,ME,4.14,24799.49717,07/03/2012,,
04572,ME,6.44,24745.81557,12/04/2012,,
04011,ME,8.3,29552.21389,10/08/2013,,
04548,ME,2,5078.667691,11/05/2013,,
04043,ME,3.9,18224.72768,07/09/2013,,
04289,ME,4.465,20517.3349,02/21/2012,,
04971,ME,1.2,8214.051577,11/06/2012,,
04572,ME,3.12,12511.19125,01/08/2013,,
03908,ME,7.15,26691.42632,05/07/2013,,
04079,ME,1.92,9584.39129,10/09/2012,,
04572,ME,2.64,10340.79096,03/27/2012,,
04967,ME,3.2,11336.91299,08/06/2013,,
04268,ME,6.86,28332.92775,12/11/2012,,
04854,ME,5.52,23651.48712,07/03/2012,,
04090,ME,14.8,44650.22812,07/09/2013,,
04963,ME,11.985,41347.42967,04/09/2013,,
04957,ME,5.1,16672.62025,06/04/2013,,
04629,ME,6.24,23408.88998,02/05/2013,,
04096,ME,5.67,21174.07354,05/07/2013,,
04579,ME,6,17371.15691,06/04/2013,,
04074,ME,5.72,11862.52534,12/04/2012,,
04106,ME,4.5,14170.70577,04/09/2013,,
04038,ME,2.4,10508.17278,08/07/2012,,
04609,ME,2.76,11504.25847,12/20/2011,,
04605,ME,4.59,14774.70479,09/03/2013,,
04556,ME,1.96,10700.65067,03/05/2013,,
04860,ME,2.45,11433.71884,02/05/2013,,
04074,ME,5,30156.09436,06/05/2012,,
04039,ME,8.64,28447.37715,12/04/2012,,
04096,ME,7.2,46346.85041,12/04/2012,,
04538,ME,2.04,9565.520338,08/06/2013,,
04260,ME,3.5,13031.68442,05/07/2013,,
04614,ME,3.06,11113.40509,07/09/2013,,
04981,ME,6,19434.70799,08/06/2013,,
04401,ME,43.2,192806.6148,03/05/2013,,
04422,ME,4.08,14050.54129,09/03/2013,,
04069,ME,4.8,21383.34567,09/04/2012,,
04538,ME,4.25,18835.83393,09/03/2013,,
04021,ME,3,10762.16035,03/05/2013,,
03908,ME,2.5,11444.0582,09/03/2013,,
04427,ME,11,49379.34165,08/06/2013,,
03904,ME,4.59,18672.78,12/11/2012,,
04238,ME,4.68,17607.5415,07/09/2013,,
04101,ME,10.56,51038.91727,04/17/2012,,
04008,ME,4.59,15230.22617,10/08/2013,,
04915,ME,4.08,16442.47828,06/04/2013,,
04103,ME,4.08,16074.12306,08/06/2013,,
04289,ME,2.76,12817.62712,03/06/2012,,
