Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=DE
19711,DE,12.15,,03/31/2014,,
19701,DE,7.21,,01/08/2014,,
19971,DE,8.64,,11/25/2013,,
19966,DE,5.5,,12/27/2013,,
19958,DE,5.5,,01/14/2014,,
19701,DE,4.32,,08/16/2013,,
19966,DE,5.5,,01/14/2014,,
19809,DE,8.32,,12/30/2013,,
19934,DE,8.32,,12/27/2013,,
19958,DE,5.2,,12/27/2013,,
19709,DE,5.0,,12/04/2013,,
19971,DE,1.2,,01/09/2014,,
19971,DE,6.36,,10/24/2013,,
19971,DE,7.2,,07/18/2013,,
19943,DE,9.6,,01/13/2014,,
19966,DE,10.75,,07/10/2013,,
19971,DE,7.8,,01/13/2014,,
19975,DE,7.65,,10/17/2013,,
19971,DE,9.18,,10/01/2013,,
19971,DE,4.06,,01/13/2014,,
19958,DE,12.72,,01/06/2014,,
19810,DE,7.28,,12/11/2013,,
19958,DE,8.25,,12/27/2013,,
19958,DE,7.5,,12/27/2013,,
19958,DE,5.61,,12/16/2013,,
19971,DE,7.5,,12/20/2013,,
19971,DE,4.06,,01/07/2014,,
19711,DE,7.28,,12/02/2013,,
19971,DE,5.25,,10/09/2013,,
19711,DE,12.5,,10/24/2013,,
19970,DE,6.89,,11/06/2013,,
19939,DE,8.25,,11/19/2013,,
19943,DE,5.74,,11/08/2013,,
19801,DE,976.25,,12/04/2013,,
19720,DE,3.84,,08/20/2013,,
19958,DE,7.0,,01/06/2014,,
19958,DE,5.5,,01/06/2014,,
19958,DE,6.5,,12/27/2013,,
19960,DE,6.5,,01/02/2014,,
19958,DE,5.36,,11/20/2013,,
19966,DE,5.25,,11/13/2013,,
19702,DE,7.28,,01/16/2014,,
19808,DE,5.2,,01/16/2014,,
19958,DE,4.5,,01/15/2014,,
19958,DE,5.5,,01/16/2014,,
19958,DE,5.0,,12/27/2013,,
19958,DE,10.56,,01/15/2014,,
19930,DE,6.24,,12/26/2013,,
19801,DE,971.35,,12/04/2013,,
19711,DE,5.2,,12/02/2013,,
19952,DE,4.0,,01/10/2014,,
19810,DE,5.2,,01/13/2014,,
19971,DE,4.42,,01/06/2014,,
19968,DE,5.2,,01/27/2014,,
19801,DE,230.6,,12/30/2013,,
19801,DE,51.85,,12/30/2013,,
19955,DE,6.36,,01/13/2014,,
19711,DE,5.32,,12/23/2013,,
19951,DE,5.61,,12/06/2013,,
19966,DE,5.5,,12/06/2013,,
19956,DE,10.4,,11/27/2013,,
19713,DE,82.35,,12/13/2013,,
19709,DE,9.0,,11/20/2013,,
19947,DE,332.0,,12/20/2013,,
19904,DE,109.8,,12/19/2013,,
19934,DE,16.43,,12/11/2013,,
19975,DE,5.72,,11/11/2013,,
19809,DE,4.16,,11/25/2013,,
19720,DE,4.8,,11/18/2013,,
19958,DE,6.5,,10/28/2013,,
19958,DE,5.25,,11/22/2013,,
19971,DE,7.14,,07/23/2013,,
19971,DE,4.59,,08/02/2013,,
19971,DE,3.06,,07/08/2013,,
19971,DE,4.59,,09/02/2013,,
19720,DE,777.0,2300000.0,12/30/2013,,
19803,DE,5.1,,10/28/2013,,
19958,DE,6.5,,10/18/2013,,
19810,DE,5.2,,11/08/2013,,
19701,DE,9.88,,11/11/2013,,
19958,DE,5.5,,11/19/2013,,
19701,DE,1.58,12127.5,04/30/2010,,
19958,DE,9.0,,11/11/2013,,
19711,DE,35.7,,11/07/2013,,
19720,DE,5.2,,11/08/2013,,
19966,DE,8.58,,09/26/2013,,
19947,DE,49.98,,10/16/2013,,
19971,DE,5.36,,10/28/2013,,
19966,DE,8.0,,11/08/2013,,
19947,DE,15.0,,10/23/2013,,
19806,DE,3.98,,08/16/2013,,
19720,DE,30.55,,09/19/2013,,
19966,DE,5.5,,11/07/2013,,
19966,DE,5.64,,11/07/2013,,
19958,DE,5.5,,10/07/2013,,
19734,DE,4.8,,10/15/2013,,
19711,DE,7.65,,10/17/2013,,
19810,DE,4.68,,10/17/2013,,
19711,DE,5.2,,10/15/2013,,
19958,DE,5.0,,10/18/2013,,
19709,DE,8.33,,06/20/2013,,
19806,DE,2.6,,08/20/2013,,
19702,DE,6.15,,09/24/2013,,
19805,DE,1.72,,05/31/2013,,
19950,DE,5.2,,10/17/2013,,
19973,DE,5.2,,10/17/2013,,
19904,DE,50.76,,09/12/2013,,
19904,DE,56.4,,09/12/2013,,
19804,DE,548.1,,01/06/2014,,
19963,DE,151.34,,09/26/2011,,
19904,DE,20.94,,08/14/2013,,
19958,DE,5.5,,07/05/2013,,
19958,DE,5.5,,08/09/2013,,
19975,DE,5.1,,07/17/2013,,
19958,DE,6.0,,09/30/2013,,
19975,DE,7.0,,08/30/2013,,
19966,DE,11.44,,06/28/2013,,
19966,DE,5.28,,02/19/2013,,
19713,DE,3.84,,10/07/2013,,
19966,DE,5.5,,09/25/2013,,
19975,DE,5.66,,08/14/2013,,
19711,DE,6.5,,09/30/2013,,
19973,DE,11.73,,07/15/2013,,
19966,DE,5.17,,06/18/2013,,
19958,DE,5.5,,10/11/2013,,
19971,DE,11.0,,09/09/2013,,
19971,DE,7.0,,09/13/2013,,
19971,DE,8.0,,08/30/2013,,
19904,DE,2.04,,09/27/2013,,
19901,DE,5.0,,08/08/2013,,
19904,DE,5.2,,10/07/2013,,
19720,DE,3.0,,07/23/2013,,
19939,DE,7.5,,09/09/2013,,
19701,DE,1.6,,08/16/2013,,
19958,DE,5.5,,09/13/2013,,
19958,DE,5.36,,09/03/2013,,
19958,DE,5.36,,09/04/2013,,
19958,DE,6.5,,09/24/2013,,
19958,DE,5.5,,09/26/2013,,
19958,DE,5.25,,09/26/2013,,
19958,DE,5.64,,08/28/2013,,
19958,DE,5.5,,08/28/2013,,
19952,DE,6.24,,08/02/2013,,
19971,DE,9.5,,05/22/2013,,
19810,DE,4.9,,07/29/2013,,
19901,DE,4.9,,08/06/2013,,
19939,DE,4.23,,08/16/2013,,
19953,DE,19.11,,08/19/2013,,
19958,DE,5.5,,07/24/2013,,
19713,DE,7.5,,08/14/2013,,
19956,DE,99.84,,08/14/2013,,
19934,DE,22.04,77920.0,08/15/2013,,
19971,DE,4.0,,04/22/2013,,
19958,DE,8.25,,07/03/2013,,
19958,DE,6.73,,05/13/2013,,
19958,DE,4.25,,07/08/2013,,
19904,DE,7.5,,07/05/2013,,
19958,DE,7.5,,08/01/2013,,
19711,DE,7.25,,07/18/2013,,
19966,DE,6.18,,05/17/2013,,
19966,DE,7.3,,05/25/2013,,
19966,DE,5.76,,04/03/2013,,
19966,DE,7.26,,05/05/2013,,
19958,DE,3.0,,05/13/2013,,
19720,DE,3.43,,04/30/2013,,
19947,DE,6.58,,08/09/2012,,
19971,DE,5.76,,04/05/2013,,
19958,DE,5.28,,04/19/2013,,
19958,DE,6.0,,07/25/2013,,
19966,DE,5.0,,06/20/2013,,
19958,DE,5.25,,07/03/2013,,
19966,DE,5.17,,07/09/2013,,
19958,DE,5.5,,06/18/2013,,
19971,DE,6.11,23434,05/04/2013,,
19970,DE,5.64,,06/13/2013,,
19947,DE,8.25,,06/07/2013,,
19966,DE,10.5,,06/28/2013,,
19973,DE,28.88,,07/03/2013,,
19803,DE,5.0,,06/11/2013,,
19975,DE,6.0,,07/31/2013,,
19975,DE,8.0,,07/23/2013,,
19947,DE,4000.0,14000000.0,08/21/2013,,
19958,DE,5.25,,06/18/2013,,
19958,DE,5.17,,07/12/2013,,
19958,DE,5.28,,04/26/2013,,
19958,DE,5.76,,04/16/2013,,
19958,DE,5.25,,04/26/2013,,
19971,DE,5.0,,06/25/2013,,
19958,DE,8.5,,07/02/2013,,
19958,DE,17.28,,07/02/2013,,
19939,DE,49.5,,07/31/2013,,
19963,DE,43.52,,08/17/2012,,
19711,DE,4.6,,12/17/2012,,
19934,DE,3.43,,05/22/2013,,
19713,DE,0.5,,04/30/2013,,
19968,DE,12.5,,04/24/2013,,
19968,DE,45.0,,04/24/2013,,
19720,DE,6.24,,05/23/2013,,
19720,DE,3.5,,06/20/2013,,
19803,DE,5.0,,06/11/2013,,
19901,DE,8.46,,05/22/2013,,
19803,DE,3.5,,06/19/2013,,
19934,DE,7.05,,09/28/2012,,
