Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=PA
19143,PA,3.136,21664.0,11/05/2010,,
19426,PA,8.28,49266.0,11/05/2010,,
19355,PA,5.98,37600.0,11/05/2010,,
19355,PA,7.05,45120.0,11/05/2010,,
17406,PA,8.6,45540.0,11/05/2010,,
17406,PA,2.52,16380.0,11/05/2010,,
19506,PA,7.68,47350.0,11/05/2010,,
18334,PA,5.67,35621.0,11/05/2010,,
17815,PA,4.2,33120.0,11/07/2010,,
18302,PA,10.35,57272.0,11/08/2010,,
17112,PA,6.3,36400.0,11/08/2010,,
17527,PA,12.544,59565.32,11/08/2010,,
17744,PA,10.08,54608.0,11/08/2010,,
16037,PA,8.97,49335.0,11/08/2010,,
19363,PA,99.84,459000.0,11/08/2010,,
19604,PA,4.4,38720.76,11/08/2010,,
17402,PA,6.58,42360.0,11/08/2010,,
19010,PA,1008.0,6000000.0,12/30/2009,,
18334,PA,2997.0,16000000.0,08/25/2010,,
17582,PA,4.41,32634.0,04/22/2010,,
17015,PA,4.62,30166.19,04/22/2010,,
17022,PA,113.4,576000.0,04/22/2010,,
17408,PA,5.67,40030.2,04/22/2010,,
17404,PA,5.46,36223.86,04/22/2010,,
15143,PA,2.52,20425.3,04/22/2010,,
18040,PA,7.425,51403.0,04/22/2010,,
17579,PA,5.04,39960.0,04/23/2010,,
18036,PA,9.6,77760.0,04/23/2010,,
17022,PA,7.8,44460.0,04/23/2010,,
19382,PA,9.6,87975.64,04/23/2010,,
17319,PA,20.16,146500.0,04/23/2010,,
17304,PA,6.15,46995.0,04/23/2010,,
17856,PA,1.344,7335.0,04/24/2010,,
18066,PA,10.32,72820.0,04/25/2010,,
18343,PA,5.16,46598.0,04/25/2010,,
18052,PA,4.5,31425.0,04/25/2010,,
17015,PA,5.98,34863.4,04/25/2010,,
18052,PA,5.16,36120.0,04/25/2010,,
18657,PA,10.12,77802.7,04/26/2010,,
17901,PA,1.4,11520.0,04/26/2010,,
18250,PA,4.6,35880.0,04/26/2010,,
18235,PA,6.58,47864.06,04/26/2010,,
17870,PA,6.15,41000.0,04/26/2010,,
17602,PA,3.2,22500.0,04/26/2010,,
19075,PA,1.36,12299.0,04/26/2010,,
19348,PA,3.375,24300.0,04/26/2010,,
19425,PA,9.87,70800.0,04/26/2010,,
19010,PA,6.3,60654.31,04/26/2010,,
17201,PA,1.988,18400.0,04/26/2010,,
17602,PA,5.88,36825.23,04/27/2010,,
17551,PA,7.26,43800.0,04/27/2010,,
19335,PA,7.26,37495.0,04/27/2010,,
17777,PA,4.2,32760.0,04/27/2010,,
19540,PA,10.32,54295.0,04/27/2010,,
17059,PA,18.0,121212.0,04/28/2010,,
17074,PA,5.52,40708.74,04/28/2010,,
18103,PA,10.25,73995.0,04/28/2010,,
17070,PA,10.12,72760.0,04/28/2010,,
19311,PA,3.42,30770.0,04/28/2010,,
19422,PA,3.76,33650.0,04/28/2010,,
17003,PA,3.5,26080.32,04/28/2010,,
17363,PA,10.32,72240.0,04/28/2010,,
