Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NM
88012,NM,3.6,17000.0,06/17/2012,,
87507,NM,6.48,44253.0,06/14/2012,,
87501,NM,2.15,12274.0,10/29/2012,,
87506,NM,6.11,30312.0,04/27/2012,,
88054,NM,5.28,25425.0,04/17/2012,,
87107,NM,2.82,13166.27,10/16/2012,,
87124,NM,4.35,25940.0,10/19/2012,,
87105,NM,3.225,17756.5,10/26/2012,,
87114,NM,5.04,24902.0,11/06/2012,,
87120,NM,5.64,27036.8,10/10/2012,,
87120,NM,5.875,25402.48,10/23/2012,,
87710,NM,8.4,39528.0,07/18/2012,,
87059,NM,6.48,28693.0,03/10/2012,,
87124,NM,6.96,40078.0,10/17/2012,,
87144,NM,7.35,45081.0,05/12/2012,,
87110,NM,4.56,22717.44,11/02/2012,,
87108,NM,2.1,10790.0,10/23/2012,,
87043,NM,2.3,15288.0,04/04/2012,,
88001,NM,1.2,5565.0,03/01/2012,,
88325,NM,3.36,19707.0,08/23/2012,,
88325,NM,3.36,19707.0,08/14/2012,,
87004,NM,9.4,50106.0,03/20/2012,,
88011,NM,5.17,20418.0,08/26/2012,,
87048,NM,7.92,78379.53,06/27/2012,,
87508,NM,3.36,19520.0,09/28/2012,,
87499,NM,5.17,28275.0,03/09/2012,,
87122,NM,6.93,34436.11,09/09/2012,,
87123,NM,5.52,23563.0,10/04/2012,,
88011,NM,3.36,16420.0,09/24/2012,,
88011,NM,3.6,16280.0,06/22/2012,,
88001,NM,4.8,25017.0,08/16/2012,,
88007,NM,3.84,17647.0,07/20/2012,,
88011,NM,2.4,12100.0,06/15/2012,,
88007,NM,4.8,16337.46,02/03/2012,,
88012,NM,6.63,25523.0,09/20/2012,,
88054,NM,4.8,18000.0,08/25/2012,,
87144,NM,12.0,54568.8,11/14/2012,,
88310,NM,5.0,12783.74,11/06/2012,,
88005,NM,1.8,2920.0,09/14/2012,,
88011,NM,6.468,38630.0,04/26/2012,,
88001,NM,2.616,16404.0,09/24/2012,,
88011,NM,3.12,14160.0,06/13/2012,,
88044,NM,2.4,11444.0,07/27/2012,,
88006,NM,5.04,22955.0,06/13/2012,,
88006,NM,3.6,16400.0,06/13/2012,,
88001,NM,6.0,27025.0,07/16/2012,,
88011,NM,6.72,26000.0,03/30/2012,,
88011,NM,3.6,10985.79,07/05/2012,,
88130,NM,6.24,32147.92,10/11/2012,,
87107,NM,9.12,28736.0,11/07/2012,,
87120,NM,5.46,45194.83,04/16/2012,,
87144,NM,7.848,46228.4,10/19/2012,,
88012,NM,2.88,13812.0,08/20/2012,,
88005,NM,3.12,14126.0,08/13/2012,,
88011,NM,4.32,28058.0,10/31/2012,,
88005,NM,4.8,16299.0,05/25/2012,,
