Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97055,OR,3.22,19844.0,07/01/2012,,
97055,OR,3.29,15776.0,07/01/2012,,
97055,OR,3.29,15298.0,07/01/2012,,
97055,OR,3.36,15792.0,07/01/2012,,
97055,OR,3.36,15792.0,07/01/2012,,
97055,OR,3.36,16325.0,07/01/2012,,
97055,OR,3.5,16275.0,07/01/2012,,
97055,OR,3.68,17848.0,07/01/2012,,
97055,OR,3.76,19048.0,07/01/2012,,
97055,OR,3.78,18048.0,07/01/2012,,
97055,OR,5.64,39480.0,07/01/2012,,
97055,OR,5.76,27205.0,07/01/2012,,
97055,OR,6.11,31833.0,07/01/2012,,
97051,OR,2.25,12334.0,07/01/2012,,
97045,OR,3.22,16100.0,07/01/2012,,
97045,OR,3.22,15134.0,07/01/2012,,
97045,OR,3.22,16271.0,07/01/2012,,
97045,OR,3.29,15298.0,07/01/2012,,
97045,OR,3.29,15630.0,07/01/2012,,
97045,OR,3.29,14970.0,07/01/2012,,
97045,OR,3.29,14970.0,07/01/2012,,
97045,OR,3.29,14970.0,07/01/2012,,
97045,OR,3.29,16450.0,07/01/2012,,
97045,OR,3.29,17108.0,07/01/2012,,
97045,OR,3.29,17108.0,07/01/2012,,
97045,OR,3.76,19535.0,07/01/2012,,
97045,OR,4.085,21283.0,07/01/2012,,
97045,OR,10.92,54650.0,07/01/2012,,
97045,OR,35.75,180656.0,03/08/2012,,
97042,OR,2.3,11500.0,07/01/2012,,
97040,OR,4.32,27285.0,07/01/2012,,
97039,OR,5.28,24467.0,07/01/2012,,
97038,OR,3.29,14970.0,07/01/2012,,
97038,OR,3.29,15957.0,07/01/2012,,
97035,OR,3.25,15290.0,07/01/2012,,
97035,OR,3.29,14970.0,07/01/2012,,
97035,OR,4.32,22507.0,07/01/2012,,
97035,OR,4.465,19423.0,07/01/2012,,
97034,OR,3.24,15275.0,07/01/2012,,
97034,OR,3.29,14970.0,07/01/2012,,
97034,OR,3.29,14970.0,07/01/2012,,
97031,OR,2.5,12000.0,07/01/2012,,
97031,OR,2.55,12000.0,07/01/2012,,
97031,OR,3.06,13079.0,07/01/2012,,
97031,OR,3.22,13995.0,07/01/2012,,
97031,OR,3.24,16848.0,07/01/2012,,
97031,OR,4.32,22507.0,07/01/2012,,
97031,OR,4.8,18776.0,07/01/2012,,
97031,OR,5.1,22016.0,07/01/2012,,
97031,OR,5.61,21599.0,07/01/2012,,
97031,OR,6.615,22614.0,07/01/2012,,
97031,OR,8.085,25400.0,07/01/2012,,
97030,OR,3.25,15275.0,07/01/2012,,
97030,OR,3.25,14788.0,07/01/2012,,
97030,OR,3.29,14970.0,07/01/2012,,
97030,OR,3.29,14970.0,07/01/2012,,
97030,OR,5.64,25662.0,07/01/2012,,
97030,OR,50.4,212554.0,06/15/2012,,
97027,OR,3.36,18041.0,07/01/2012,,
97027,OR,4.14,21771.0,07/01/2012,,
97026,OR,3.29,25120.0,07/01/2012,,
97024,OR,3.25,14788.0,07/01/2012,,
97023,OR,3.22,15134.0,07/01/2012,,
